episode,timestep,reward
44,800,17.7273
81,1600,21.5676
114,2400,24.3636
149,3200,23.2
170,4000,37.0476
193,4800,35.0
203,5600,77.0
218,6400,51.2
226,7200,110.25
231,8000,158.6
235,8800,199.25
239,9600,161.0
244,10400,176.6
248,11200,177.0
253,12000,187.8
257,12800,176.25
262,13600,181.6
265,14400,224.0
268,15200,308.0
271,16000,242.3333
273,16800,309.5
276,17600,281.0
281,18400,203.2
284,19200,261.3333
287,20000,251.0
289,20800,273.0
292,21600,305.3333
296,22400,222.75
299,23200,288.0
302,24000,247.6667
305,24800,307.6667
307,25600,368.5
309,26400,374.0
311,27200,400.0
313,28000,400.0
315,28800,400.0
317,29600,355.0
319,30400,400.0
321,31200,316.5
324,32000,385.3333
326,32800,400.0
328,33600,400.0
331,34400,266.6667
333,35200,248.0
336,36000,343.3333
339,36800,258.0
343,37600,229.75
347,38400,188.75
351,39200,197.75
353,40000,304.5
358,40800,206.6
361,41600,223.3333
364,42400,253.3333
367,43200,293.6667
370,44000,284.0
372,44800,321.5
375,45600,301.0
378,46400,300.3333
380,47200,400.0
382,48000,368.5
385,48800,225.3333
388,49600,320.0
390,50400,400.0
392,51200,400.0
394,52000,400.0
396,52800,399.0
399,53600,232.3333
402,54400,247.3333
404,55200,400.0
406,56000,400.0
408,56800,375.5
411,57600,294.6667
414,58400,285.0
417,59200,288.6667
419,60000,400.0
421,60800,330.0
423,61600,400.0
425,62400,295.0
428,63200,356.0
430,64000,400.0
433,64800,235.0
436,65600,327.6667
438,66400,328.0
440,67200,339.0
442,68000,400.0
446,68800,244.25
448,69600,362.0
450,70400,359.0
452,71200,400.0
454,72000,360.0
460,72800,173.3333
462,73600,400.0
464,74400,400.0
466,75200,325.0
468,76000,400.0
470,76800,400.0
476,77600,159.0
486,78400,89.4
489,79200,265.3333
492,80000,231.3333
496,80800,184.5
499,81600,327.6667
501,82400,383.5
504,83200,263.3333
507,84000,249.3333
509,84800,348.5
513,85600,244.25
515,86400,256.0
518,87200,304.6667
520,88000,359.0
523,88800,326.6667
525,89600,392.5
527,90400,400.0
