episode,timestep,reward
1,800,0.0
3,1600,0.0
5,2400,0.0
7,3200,0.0
9,4000,0.0
11,4800,0.0
13,5600,0.0
15,6400,0.0
17,7200,0.0
19,8000,0.0
21,8800,0.0
23,9600,0.0
25,10400,0.0
27,11200,0.0
29,12000,0.0
31,12800,0.0
33,13600,0.0
35,14400,0.0
37,15200,0.0
39,16000,0.0
41,16800,0.0
43,17600,0.0
45,18400,0.0
47,19200,0.0
49,20000,0.0
51,20800,0.0
53,21600,0.0
55,22400,0.0
57,23200,0.0
59,24000,0.0
61,24800,0.0
63,25600,0.0
65,26400,0.0
67,27200,0.0
69,28000,0.0
71,28800,0.0
73,29600,0.0
75,30400,0.0
77,31200,0.0
79,32000,0.0
81,32800,0.0
83,33600,0.0
85,34400,0.0
87,35200,0.0
89,36000,0.0
91,36800,0.0
93,37600,0.0
95,38400,0.0
97,39200,0.0
99,40000,0.0
101,40800,0.0
103,41600,0.0
105,42400,0.0
107,43200,0.0
109,44000,0.0
111,44800,0.0
113,45600,0.0
115,46400,0.0
117,47200,0.0
119,48000,0.0
121,48800,0.0
123,49600,0.0
125,50400,0.0
127,51200,0.0
129,52000,0.0
131,52800,0.0
133,53600,0.0
135,54400,0.0
137,55200,0.0
139,56000,0.0
141,56800,0.0
143,57600,0.0
145,58400,0.0
147,59200,0.0
149,60000,0.0
151,60800,0.0
153,61600,0.0
155,62400,0.0
157,63200,0.0
159,64000,0.0
161,64800,0.0
163,65600,0.0
165,66400,0.0
167,67200,0.0
169,68000,0.0
171,68800,0.0
173,69600,0.0
175,70400,0.0
177,71200,0.0
179,72000,0.0
181,72800,0.0
183,73600,0.0
185,74400,0.0
187,75200,0.0
189,76000,0.0
191,76800,0.0
193,77600,0.0
195,78400,0.0
197,79200,0.0
199,80000,0.0
201,80800,0.0
203,81600,0.0
205,82400,0.0
207,83200,0.0
209,84000,0.0
211,84800,0.0
213,85600,0.0
215,86400,0.0
217,87200,0.0
219,88000,0.0
221,88800,0.0
223,89600,0.0
225,90400,0.0
227,91200,0.0
229,92000,0.0
231,92800,0.0
233,93600,0.0
235,94400,0.0
237,95200,0.0
239,96000,0.0
241,96800,0.0
243,97600,0.0
245,98400,0.0
247,99200,0.0
249,100000,0.0
